,ABMAG,DEC,DITHER,IDX,RA,SOURCE,THETA,VEL
6,24.4402981791,-21.6894033607,3,6,7.90044335705,1,85.5148392126,4.87964958737
10,21.5798900911,-21.4700672497,3,10,8.20766879259,2,296.740271758,10.6312077921
14,23.2024363603,-21.3375334376,3,14,8.26440378115,3,347.669711295,0.0106654753368
18,20.0874497749,-21.4899018093,3,18,8.13927427765,4,350.136401006,0.119395887999
22,25.5124820486,-21.4561986565,3,22,7.99878586726,5,163.24172907,21.3650697875
26,25.4042891247,-21.6936775702,3,26,7.98894824769,6,219.255286594,0.608371732038
30,20.2005285658,-21.4563364832,3,30,8.27026896161,7,279.189545258,0.127853770076
34,25.7416960177,-21.2291995214,3,34,7.97447207686,8,230.980804113,0.749658661159
46,23.6364991062,-21.6456058686,3,46,8.36668847436,11,107.44180952,0.154903358264
50,25.6653508163,-21.2530004548,3,50,7.8920973561,12,21.0644970775,0.747793818853
54,25.1164132467,-21.2714243241,3,54,8.14609728493,13,308.541939331,0.0104815102793
58,20.0135554011,-21.6171794605,3,58,8.29604062723,14,134.227450035,2.19095162936
62,23.1273561633,-21.3838415752,3,62,8.19625898494,15,244.745262568,0.0537377929937
66,23.3122257996,-21.6866734181,3,66,8.25075587617,16,92.2607817576,17.4829947619
70,22.912264482,-21.6416024643,3,70,8.03591769988,17,125.129237455,0.200121787277
74,24.6088049244,-21.541773208,3,74,8.34961557502,18,3.38859722915,4.13287077781
82,24.587362702,-21.3211008079,3,82,8.16305527494,20,341.673905404,10.6373183817
86,20.1248587877,-21.2908581435,3,86,7.96108587801,21,78.4436432874,0.0241473745384
90,20.8112610702,-21.5276700638,3,90,8.07666213789,22,114.980891897,0.110523900549
94,20.6976381044,-21.5406396814,3,94,8.22713559504,23,330.39805896,0.448027769144
98,21.8593855069,-21.6440924822,3,98,8.11129506798,24,11.4853199184,2.18717014589
102,24.0287158713,-21.6580179062,3,102,8.10701973911,25,23.4304333353,0.0786466310284
106,22.8273786695,-21.3439895688,3,106,8.19855172178,26,226.738439679,2.74149940895
110,24.8970097883,-21.4004704681,3,110,8.1468077033,27,314.572839581,1.92516904858
114,21.7375207012,-21.6721627452,3,114,8.21520616204,28,3.13766362936,0.0429400991464
118,24.3987558657,-21.4601246239,3,118,8.1905189763,29,268.767805318,0.131780781199
122,24.2157341315,-21.5011489974,3,122,8.29343973449,30,292.622821561,12.1920112804
126,21.9654168576,-21.276008925,3,126,8.15082663562,31,27.258280622,0.0194901481108
130,22.0078851746,-21.3416549193,3,130,8.34393830545,32,236.323920455,3.9436100994
134,25.8683484741,-21.3989681436,3,134,8.04961514041,33,183.33439203,0.016473985544
138,23.7474926704,-21.4237302906,3,138,7.93461744259,34,172.758020939,3.49501120662
142,25.7018811482,-21.2256345427,3,142,8.04099807174,35,344.006692175,3.81770190197
146,24.6048539037,-21.2066633313,3,146,7.94703845297,36,0.00433208501463,0.262043109983
150,24.9500555193,-21.5260295661,3,150,8.30443451705,37,88.9123323571,28.0000558135
154,22.4398418108,-21.5801267427,3,154,7.91343266102,38,256.403764048,0.373367241857
158,22.7078504685,-21.301774918,3,158,8.2031399268,39,116.849537923,0.0457331081367
166,25.970828962,-21.5182008098,3,166,8.29946198581,41,250.360362919,3.05834756007
170,21.0653850556,-21.6650037249,3,170,7.98950070081,42,330.678629333,0.174922670405
174,25.7755814182,-21.5403134786,3,174,8.31842524387,43,88.0112527913,0.0151176390276
178,22.5155016216,-21.6648029355,3,178,8.0658049304,44,164.91089422,0.125455205107
182,22.5443146793,-21.5496220989,3,182,8.26722518928,45,91.0773658157,29.7142480312
186,22.7788932184,-21.3049372664,3,186,8.037968,46,136.559984934,0.100249010878
190,22.2423388929,-21.247343334,3,190,8.33191183036,47,217.633978307,0.403385459811
194,22.793048601,-21.3043191831,3,194,8.05284497401,48,278.056353485,3.60260275352
198,20.2110095688,-21.417693854,3,198,7.97557998591,49,24.450298846,19.1111199033
202,20.5056360184,-21.3919974272,3,202,8.0862618108,50,246.990628507,0.0407282975563
206,24.3951241889,-21.5192611173,3,206,7.93672095559,51,197.373635062,0.0547790985403
