,ABMAG,DEC,DITHER,IDX,RA,SOURCE,THETA,VEL
3,20.9249770543,-21.6100183418,4,3,8.27568725772,0,279.972867807,0.612411481629
7,24.4402981791,-21.6890268715,4,7,7.90047288929,1,85.5148392126,4.87964958737
11,21.5798900911,-21.470802029,4,11,8.20803899541,2,296.740271758,10.6312077921
15,23.2024363603,-21.3375336138,4,15,8.26440458754,3,347.669711295,0.0106654753368
19,20.0874497749,-21.4899033922,4,19,8.13928338134,4,350.136401006,0.119395887999
23,25.5124820486,-21.4557218997,4,23,7.99720260623,5,163.24172907,21.3650697875
27,25.4042891247,-21.6937073633,4,27,7.98891178964,6,219.255286594,0.608371732038
31,20.2005285658,-21.4563462511,4,31,8.27027054183,7,279.189545258,0.127853770076
35,25.7416960177,-21.2292445973,4,35,7.97443555012,8,230.980804113,0.749658661159
39,20.8232559281,-21.2746171572,4,39,7.93416729532,9,259.926562626,0.0587936283848
43,21.7029701177,-21.3346644111,4,43,8.23425902076,10,12.6131486765,6.37137946091
47,23.6364991062,-21.6455944315,4,47,8.36668488103,11,107.44180952,0.154903358264
51,25.6653508163,-21.2529796541,4,51,7.89215136204,12,21.0644970775,0.747793818853
55,25.1164132467,-21.2714249586,4,55,8.14609779037,13,308.541939331,0.0104815102793
59,20.0135554011,-21.6170579563,4,59,8.29592235625,14,134.227450035,2.19095162936
63,23.1273561633,-21.3838453366,4,63,8.19625721059,15,244.745262568,0.0537377929937
67,23.3122257996,-21.6853214277,4,67,8.25070250152,16,92.2607817576,17.4829947619
71,22.912264482,-21.6415897975,4,71,8.03590878783,17,125.129237455,0.200121787277
75,24.6088049244,-21.5417543023,4,75,8.34993486683,18,3.38859722915,4.13287077781
79,20.9643005188,-21.6201550195,4,79,8.24656812952,19,129.000161774,4.50325814943
83,24.587362702,-21.321359656,4,83,8.16383676508,20,341.673905404,10.6373183817
87,20.1248587877,-21.2908563126,4,87,7.96108625239,21,78.4436432874,0.0241473745384
91,20.8112610702,-21.5276623104,4,91,8.07665852554,22,114.980891897,0.110523900549
95,20.6976381044,-21.5406568092,4,95,8.22716574311,23,330.39805896,0.448027769144
99,21.8593855069,-21.6440587778,4,99,8.1114609479,24,11.4853199184,2.18717014589
103,24.0287158713,-21.6580154859,4,103,8.10702532385,25,23.4304333353,0.0786466310284
107,22.8273786695,-21.344144078,4,107,8.19840631529,26,226.738439679,2.74149940895
111,24.8970097883,-21.4005766043,4,111,8.14691226863,27,314.572839581,1.92516904858
115,21.7375207012,-21.6721625633,4,115,8.21520948028,28,3.13766362936,0.0429400991464
119,24.3987558657,-21.4601348203,4,119,8.19051875698,29,268.767805318,0.131780781199
123,24.2157341315,-21.5020199607,4,123,8.29380268861,30,292.622821561,12.1920112804
127,21.9654168576,-21.2760082341,4,127,8.15082797649,31,27.258280622,0.0194901481108
131,22.0078851746,-21.3419089055,4,131,8.34376907085,32,236.323920455,3.9436100994
135,25.8683484741,-21.3989682177,4,135,8.04961386762,33,183.33439203,0.016473985544
139,23.7474926704,-21.4236961931,4,139,7.93434911454,34,172.758020939,3.49501120662
143,25.7018811482,-21.2257159492,4,143,8.04128209515,35,344.006692175,3.81770190197
147,24.6048539037,-21.2066633298,4,147,7.94705873301,36,0.00433208501463,0.262043109983
151,24.9500555193,-21.5238629769,4,151,8.30447565118,37,88.9123323571,28.0000558135
155,22.4398418108,-21.5801548286,4,155,7.91342586828,38,256.403764048,0.373367241857
159,22.7078504685,-21.3017717601,4,159,8.20313832825,39,116.849537923,0.0457331081367
163,22.4037897642,-21.6681149863,4,163,8.16378591921,40,99.7186882982,0.166973626557
167,25.970828962,-21.5184237318,4,167,8.29938243302,41,250.360362919,3.05834756007
