X_WORLD,Y_WORLD,fluxvisaper
8.550457,-20.419825,1.0293093
8.240524,-20.41999,0.78158194
8.550206,-20.419413,2.3380008
8.251099,-20.419632,0.9278696
8.157008,-20.419437,0.62728304
8.322518,-20.418362,44.922146
8.141428,-20.418905,1.094341
8.095275,-20.418692,0.8456187
8.186637,-20.418287,4.0772696
8.50196,-20.418371,1.0151864
8.309729,-20.416842,11.416389
8.379187,-20.41714,1.3174043
8.404832,-20.41686,4.3242555
8.167961,-20.41616,5.5207863
8.058486,-20.415318,16.170837
8.350123,-20.415771,2.689734
8.484929,-20.415516,2.5677142
8.260021,-20.4151,15.473195
8.306831,-20.415123,0.653927
8.401601,-20.41459,2.315473
8.267175,-20.414791,0.76119566
8.367281,-20.414463,4.278444
8.263255,-20.41394,0.997773
8.41737,-20.413294,1.0277395
8.379125,-20.41328,1.0596157
8.320429,-20.413223,0.38704497
8.311943,-20.412172,1.5961998
8.251669,-20.411943,2.1565647
8.057029,-20.41134,2.8644385
8.038666,-20.411022,5.125844
8.0928135,-20.411207,0.51956314
8.241476,-20.411171,0.43040028
8.292823,-20.410923,0.7435615
8.019734,-20.410006,6.2764664
8.532476,-20.409449,40.281815
8.164792,-20.41004,1.9651544
8.438977,-20.409742,7.0713224
8.119391,-20.409801,4.2064657
8.162578,-20.409054,48.63239
8.128067,-20.409187,21.874954
8.247932,-20.409784,1.6108661
8.0623455,-20.409117,14.559346
8.447317,-20.409184,15.357776
8.494044,-20.40913,5.8472
8.353703,-20.409199,7.7759104
8.289463,-20.408838,11.795547
8.408822,-20.408468,2.851713
8.188725,-20.408463,2.314719
8.372157,-20.40733,9.877156
8.066208,-20.407078,3.3024213
8.462321,-20.406685,9.2221365
8.401729,-20.407164,0.4673787
8.372195,-20.406628,6.4877324
8.1969595,-20.406792,3.0341334
8.229889,-20.407,0.76160127
8.0709,-20.406803,0.5952931
8.158779,-20.406782,0.62320775
8.492465,-20.406109,8.303963
8.132187,-20.405712,3.8976867
8.191006,-20.405523,10.839144
8.44396,-20.404938,20.48799
8.465678,-20.405218,2.9497454
8.382413,-20.404787,11.933453
8.381343,-20.40428,11.787478
8.335121,-20.404606,0.40761012
8.207851,-20.404387,0.6122139
8.533686,-20.403706,3.7885704
8.481767,-20.403982,0.89035136
8.0374,-20.4037,1.0538689
8.318659,-20.403763,1.0703883
8.180625,-20.40316,4.2424116
8.293327,-20.402386,35.909683
8.173278,-20.402805,1.4896157
8.502591,-20.402521,3.7409034
8.188817,-20.400358,10.677911
8.126549,-20.401222,109.24422
8.464788,-20.400965,80.918884
8.285792,-20.401712,2.9452727
8.422936,-20.401497,2.785697
8.440094,-20.39984,102.86272
8.030436,-20.401016,1.3621299
8.089953,-20.400244,17.70202
8.111798,-20.400238,1.8947294
8.230015,-20.400267,2.597012
8.2202015,-20.399593,3.7540069
8.405214,-20.399433,1.1845367
8.14548,-20.39856,15.444797
8.057598,-20.39894,0.7265568
8.453328,-20.397306,14.182892
8.498986,-20.397774,0.76231533
8.251542,-20.397469,1.7162886
8.471505,-20.396547,5.97667
8.231786,-20.396347,0.6433944
8.510639,-20.395805,3.1597805
8.176508,-20.394928,11.502689
8.066836,-20.39531,0.39053193
8.049813,-20.395077,1.7058437
8.122248,-20.395136,0.74085706
8.460869,-20.394854,1.4359936
8.384952,-20.393515,8.766085
8.536405,-20.393702,0.74687785
8.4691,-20.393467,1.0577569
8.479798,-20.392815,8.799467
8.520258,-20.393082,1.7095587
8.1691,-20.392721,1.1509466
8.448208,-20.391037,134.26515
8.4578905,-20.392372,0.8916522
8.291748,-20.392027,7.986293
8.421104,-20.391495,6.4644117
8.076342,-20.391644,0.8478975
8.155487,-20.391487,1.3402311
8.530643,-20.390337,45.772984
8.353793,-20.390722,1.5633544
8.251347,-20.389696,41.55794
8.198041,-20.390467,0.79162675
8.352914,-20.390106,4.4004946
8.122307,-20.389769,6.1185923
8.547988,-20.389816,1.0284649
8.433769,-20.389633,1.8426558
8.476763,-20.389769,0.66884726
8.2561,-20.389315,13.511366
8.181387,-20.388908,30.034992
8.515632,-20.38889,2.4546807
8.457193,-20.388462,5.6137857
