,DITHER,ALPHA_J2000,DELTA_J2000,MAG_ISO,PM,CLASS_STAR,OBJECT
3,1,7.73046181444,-21.3903483177,18-19,0.03,0.980943977833,star
4,1,8.09478058055,-21.0749827948,23-24,0.03,0.959374547005,star
5,1,8.25914393904,-21.280819539,20-21,0.03,0.997670292854,star
6,1,8.10420056466,-21.7291793576,20-21,0.03,0.987811207771,star
7,1,8.26807047476,-21.2720739821,21-22,0.03,0.985706746578,star
8,1,7.75270662483,-21.3714245102,20-21,0.03,0.991106748581,star
9,1,8.26118318978,-21.2711140191,20-21,0.03,0.998999297619,star
11,1,7.70853707099,-21.3708063393,22-23,0.03,0.990831136703,star
13,1,7.97628340969,-21.2761091971,18-19,0.03,0.999878585339,star
17,1,8.44260045177,-21.5601936027,22-23,0.03,0.988219082355,star
18,1,8.29625387414,-20.9942317141,22-23,0.03,0.999907195568,star
19,1,8.01421412431,-21.2632206502,23-24,0.03,0.950675606728,star
21,1,8.30039634651,-20.9917576036,23-24,0.03,0.990167558193,star
24,1,7.99783112907,-21.2558454446,21-22,0.03,0.999921679497,star
27,1,8.123266369,-21.7117073574,19-20,0.03,0.984387636185,star
28,1,8.04371555161,-21.2370146236,22-23,0.03,0.966268897057,star
29,1,8.04362247691,-21.7107830511,23-24,0.03,0.997361421585,star
30,1,8.07558213963,-21.7106240988,24-25,0.03,0.981227755547,star
32,1,7.76608835467,-21.3560510432,22-23,0.03,0.998681247234,star
35,1,7.76768215028,-21.4041668431,22-23,0.03,0.980505824089,star
38,1,8.01943390154,-21.3310883952,20-21,0.03,0.999602377415,star
39,1,8.25658135214,-21.44762462,23-24,0.03,0.998893737793,star
40,1,8.25263274249,-21.4428890682,18-19,0.03,0.987258732319,star
42,1,7.85118021458,-21.3979764165,22-23,0.03,0.98754042387,star
43,1,8.27898332331,-20.9753558122,22-23,0.03,0.989229798317,star
48,1,8.57928935127,-21.572477157,22-23,0.03,0.997611701488,star
49,1,8.20287194813,-21.1679805019,21-22,0.03,0.984879791737,star
50,1,8.22135284432,-21.1658564601,22-23,0.03,0.988323271275,star
52,1,7.96946269357,-21.315617363,20-21,0.03,0.986952543259,star
53,1,7.99164362784,-21.3143111351,23-24,0.03,0.987879157066,star
54,1,8.04110296147,-21.3130435567,23-24,0.03,0.959673523903,star
56,1,8.2351791668,-21.1511648899,23-24,0.03,0.9861972332,star
59,1,8.29743117173,-21.4940280557,24-25,0.03,0.987372934818,star
61,1,7.79674345766,-21.3793046827,22-23,0.03,0.988524913788,star
62,1,8.23058167314,-21.4374377819,18-19,0.03,0.98479539156,star
63,1,7.93194230398,-21.2278089937,23-24,0.03,0.975590586662,star
64,1,7.75876129748,-21.3159869106,22-23,0.03,0.998091757298,star
66,1,8.25982731529,-21.4856017089,20-21,0.03,0.983243703842,star
68,1,8.46825491258,-21.3674259301,18-19,0.03,0.98295044899,star
69,1,8.21662989362,-21.2160308083,22-23,0.03,0.999795496464,star
71,1,8.22343843284,-21.7276565717,20-21,0.03,0.997957766056,star
72,1,8.22677815258,-21.7275814547,23-24,0.03,0.926958501339,star
74,1,8.0075566384,-21.5671864422,23-24,0.03,0.993974924088,star
75,1,8.22562673157,-21.7259147619,22-23,0.03,0.987733900547,star
77,1,8.24166756478,-21.4773069632,20-21,0.03,0.984210789204,star
79,1,8.25092428848,-21.1398164022,22-23,0.03,0.988634228706,star
80,1,7.94685912734,-21.2124525928,20-21,0.03,0.998121976852,star
81,1,8.1165854515,-21.1366619791,23-24,0.03,0.982475996017,star
82,1,7.6817732362,-21.2911099151,22-23,0.03,0.998773396015,star
