,0.0,0.001,0.003,0.01,0.03,0.1,0.3,1.0,3.0,10.0,30.0
0,282.171844482,,411.487182617,534.050476074,440.16735839800003,355.907958984,424.271148682,400.53576660199997,344.84606933599997,135.82965087899998,
1,353.946716309,,307.543212891,644.615844727,475.143707275,454.365234375,527.982849121,303.614593506,386.29980468800005,358.94403076199995,
2,44.989379882799994,,575.6729736330001,319.159851074,468.05181884800004,376.129211426,498.70800781199995,291.02258300799997,429.69995117199994,,
3,503.65234375,,329.426300049,548.391235352,340.527191162,410.42791748,268.738037109,319.603210449,441.330322266,,
4,628.86517334,,391.23928833,531.7395019530001,594.8640136719999,345.048706055,296.63000488299997,600.879089355,489.385650635,,
5,,,474.977050781,388.46545410199997,302.892242432,345.500946045,568.149597168,646.944946289,312.42492675799997,,
6,,,329.036499023,403.310852051,513.649780273,278.475341797,634.281616211,447.681945801,317.869873047,,
7,,,,614.728881836,535.540710449,603.787597656,561.76751709,349.94851684599996,622.5337524409999,,
8,,,,444.044372559,388.74121093800005,602.45123291,507.80310058599997,325.445068359,469.638427734,,
9,,,,436.211730957,587.933654785,643.6413574219999,391.49060058599997,426.65805053699995,365.04394531199995,,
10,,,,493.92541503900003,236.717071533,575.592285156,360.68908691400003,359.262115479,444.81402587900004,,
11,,,,377.63610839800003,412.815307617,445.56207275400004,246.38104248,412.449859619,329.924865723,,
12,,,,403.10778808599997,386.413208008,287.384674072,400.57464599599996,340.386779785,504.329223633,,
13,,,,399.08636474599996,416.897644043,572.59185791,561.4389038090001,592.016235352,548.173522949,,
14,,,,334.292297363,352.68853759800004,576.252746582,344.82678222699997,394.29821777300003,,,
15,,,,300.047790527,405.46197509800004,499.829772949,445.99850463900003,302.388092041,,,
16,,,,400.87402343800005,317.252868652,396.55761718800005,413.53668212900004,483.476074219,,,
17,,,,638.097351074,315.976013184,379.890808105,,483.45098877,,,
18,,,,481.13793945300006,362.727050781,437.37677002,,374.50939941400003,,,
19,,,,277.223388672,541.834106445,363.14215087900004,,86.4491577148,,,
20,,,,486.66015625,327.271606445,55.8932800293,,520.385803223,,,
21,,,,407.10699462900004,308.28082275400004,312.2706604,,,,,
22,,,,290.489501953,276.90783691400003,543.1052246090001,,,,,
23,,,,539.6003417969999,313.990234375,,,,,,
24,,,,444.065612793,599.435913086,,,,,,
25,,,,544.848571777,522.53338623,,,,,,
26,,,,607.424987793,421.170440674,,,,,,
27,,,,288.74343872099996,305.237670898,,,,,,
28,,,,430.122192383,505.420166016,,,,,,
29,,,,438.738464355,574.33782959,,,,,,
30,,,,324.913024902,,,,,,,
31,m 362.725091553,m nan,m 402.768929618,m 444.285804995,m 418.362712606,m 428.747192383,m 438.427536908,m 402.924118769,m 429.022454398,m 247.38684082,m nan
