,IDX,SOURCE,DITHER,RA,DEC,VEL,ABMAG,THETA,MAG_AUTO,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,MAGERR_AUTO,ERRA_WORLD,ERRB_WORLD,ERRTHETA_WORLD,CLASS_STAR
1,25,6,2,7.98900000103,-21.6936109771,0.608371732038,25.4042891247,219.255286594,26.1500968933,0.722813904285,0.666783869267,15.635222435,0.135851606727,0.124793313444,0.163116768003,3.75520062335E-06,3.4553434034E-06,23.6907711029,0.0518699549139
2,26,6,3,7.98896125186,-21.6936478984,0.608371732038,25.4042891247,219.255286594,25.7262649536,0.884132504463,0.750003397465,-87.4599151611,0.137738153338,0.108666040003,0.154140919447,3.80985125048E-06,3.00659121422E-06,-64.8664474487,0.714197576046
3,27,6,4,7.98892966601,-21.6936858383,0.608371732038,25.4042891247,219.255286594,25.6634273529,0.977032780647,0.732315599918,12.8790044785,0.128859356046,0.0909927561879,0.158646196127,3.48423122887E-06,2.62733078671E-06,12.5660820007,0.723201692104
4,33,8,2,7.9745210539,-21.2291102137,0.749658661159,25.7416960177,230.980804113,25.5042304993,0.888362050056,0.681373000145,-22.6627445221,0.132390543818,0.0951593890786,0.171509221196,3.6738849758E-06,2.61638456323E-06,38.5106582642,0.837855517864
5,34,8,3,7.97448757285,-21.2291546037,0.749658661159,25.7416960177,230.980804113,25.3007068634,0.914936244488,0.684114992619,-69.3933792114,0.15829578042,0.113894231617,0.189075872302,4.2470101107E-06,3.32653712576E-06,-83.4740600586,0.0401188582182
6,35,8,4,7.97446377258,-21.2292021969,0.749658661159,25.7416960177,230.980804113,25.7674655914,0.925748944283,0.673409998417,-71.9573287964,0.172523409128,0.12413443625,0.218778923154,4.62886191599E-06,3.62547552868E-06,-83.4589080811,0.792455434799
7,48,12,1,7.89199973865,-21.2529991942,0.747793818853,25.6653508163,21.0644970775,26.4136371613,0.734660863876,0.556932151318,-47.4878807068,0.153378888965,0.113249927759,0.116848953068,4.11846394854E-06,3.29483214045E-06,60.4776954651,0.823151290417
8,49,12,2,7.89206291659,-21.2529705216,0.747793818853,25.6653508163,21.0644970775,25.1547145844,1.01348185539,0.726066410542,-16.3252086639,0.149844974279,0.105868905783,0.156901240349,4.17060255131E-06,2.89244326268E-06,35.1046257019,0.54645806551
9,50,12,3,7.89210685727,-21.2529569978,0.747793818853,25.6653508163,21.0644970775,25.3970394135,0.946222543716,0.823818325996,-73.1036224365,0.142284020782,0.123505011201,0.184274271131,3.8824650801E-06,3.47736954609E-06,-80.9427719116,0.0151157621294
10,51,12,4,7.8921658158,-21.2529437975,0.747793818853,25.6653508163,21.0644970775,25.1525821686,1.04080331326,0.682582736015,81.454788208,0.172702357173,0.104277200997,0.165670976043,4.81229199067E-06,2.82634437099E-06,-59.701259613,0.235528200865
11,52,13,1,8.14612293082,-21.271380282,0.0104815102793,25.1164132467,308.541939331,25.1537628174,1.0616465807,0.974810838699,-63.4491577148,0.113751865923,0.105223849416,0.144185990095,3.1097279134E-06,2.95044605991E-06,84.1898040771,0.413151800632
12,54,13,3,8.14612306222,-21.2713811192,0.0104815102793,25.1164132467,308.541939331,24.8815174103,0.953040778637,0.849837899208,-42.994884491,0.10762757808,0.0912585258484,0.134713023901,2.92578260996E-06,2.58418708654E-06,59.3634147644,0.789728105068
13,55,13,4,8.14612069224,-21.2713907045,0.0104815102793,25.1164132467,308.541939331,25.5318546295,0.92611682415,0.802656233311,-64.524055481,0.122070163488,0.105846621096,0.181113213301,3.32982881446E-06,2.98157669931E-06,-81.1311340332,0.88798314333
14,108,27,1,8.1466180098,-21.4002195183,1.92516904858,24.8970097883,314.572839581,25.0376338959,1.21332943439,0.897711336613,72.5821533203,0.127790272236,0.094406619668,0.126732036471,3.54733924723E-06,2.59510466094E-06,-51.9722518921,0.0434342287481
15,110,27,3,8.1468366596,-21.4004379664,1.92516904858,24.8970097883,314.572839581,24.6487617493,1.41416931152,0.971784591675,-82.1287994385,0.124294273555,0.0833454206586,0.11383330822,3.37328219757E-06,2.40001099883E-06,-74.2941207886,0.0463827773929
16,111,27,4,8.14694372095,-21.4005299994,1.92516904858,24.8970097883,314.572839581,25.1385135651,1.48954916,0.727184772491,83.4983062744,0.164370164275,0.075042963028,0.145989194512,4.5863653213E-06,1.98776069738E-06,-59.9865226746,0.0379854850471
17,116,29,1,8.19054370495,-21.4600625184,0.131780781199,24.3987558657,268.767805318,24.6700439453,1.15253269672,1.13875722885,84.5511779785,0.0769633725286,0.0758515372872,0.0893226563931,2.12490522244E-06,2.10260031963E-06,62.7665939331,0.959474384785
18,117,29,2,8.1905467948,-21.46007803,0.131780781199,24.3987558657,268.767805318,24.6940898895,1.11086094379,1.06487131119,-48.3863182068,0.0702581778169,0.0674897432327,0.0789109244943,1.93371511159E-06,1.87727596312E-06,61.3457603455,0.79378503561
19,118,29,3,8.19054256582,-21.4600877897,0.131780781199,24.3987558657,268.767805318,24.5802097321,1.19475126266,0.991426587105,88.0986175537,0.0762617960572,0.0585723742843,0.0872575491667,2.11531232708E-06,1.61299419688E-06,-62.3058586121,0.903548836708
20,132,33,1,8.04963097694,-21.3989329935,0.016473985544,25.8683484741,183.33439203,25.1688480377,0.873162984848,0.681641578674,-40.2779273987,0.162332504988,0.119740702212,0.153134837747,4.42758437202E-06,3.39643884217E-06,49.5154762268,0.683689892292
21,133,33,2,8.04963411283,-21.3989323009,0.016473985544,25.8683484741,183.33439203,25.4385967255,0.825177788734,0.670410752296,44.5639343262,0.165518835187,0.131190791726,0.181160643697,4.46867807113E-06,3.76410775971E-06,-29.4073257446,0.479504704475
22,134,33,3,8.0496316561,-21.3989292202,0.016473985544,25.8683484741,183.33439203,26.2178039551,0.736737132072,0.452299594879,72.4982223511,0.162941679358,0.0942592322826,0.168919205666,4.53564052805E-06,2.55848044617E-06,-52.8642196655,0.836738824844
23,135,33,4,8.04963031352,-21.3989306514,0.016473985544,25.8683484741,183.33439203,25.6398906708,0.715929687023,0.663862407207,1.92994725704,0.155351772904,0.143825292587,0.211866632104,4.29762803833E-06,3.97876192437E-06,25.2503643036,0.794312596321
24,144,36,1,7.94700335155,-21.2066134317,0.262043109983,24.6048539037,0.00433208501463,24.740032196,1.25826883316,0.930599749088,87.434135437,0.0936805829406,0.063975840807,0.106615580618,2.59182775153E-06,1.76931189344E-06,-64.7008361816,0.935762524605
25,146,36,3,7.94705298233,-21.2066211545,0.262043109983,24.6048539037,0.00433208501463,24.6954479218,1.21849954128,1.12916922569,-76.7649459839,0.0907309651375,0.0859550982714,0.102344848216,2.49590289059E-06,2.39254381995E-06,-80.7356185913,0.295728683472
26,147,36,4,7.94707306469,-21.206619253,0.262043109983,24.6048539037,0.00433208501463,24.7137451172,1.17672753334,1.00291609764,-63.8151321411,0.0864697173238,0.0698538124561,0.104662112892,2.32577349379E-06,2.0116988253E-06,86.5553970337,0.796403348446
27,172,43,1,8.31845215287,-21.5402837413,0.0151176390276,25.7755814182,88.0112527913,25.9802150726,0.743781745434,0.452917575836,16.5282840729,0.174345910549,0.100966669619,0.216946184635,4.64143704448E-06,3.08549715555E-06,9.07413196564,0.804933845997
28,173,43,2,8.31845348907,-21.5402774704,0.0151176390276,25.7755814182,88.0112527913,26.4552249908,0.50523775816,0.489783316851,-35.8132896423,0.136934325099,0.135625839233,0.198478609324,3.78808113055E-06,3.75191802959E-06,-64.7114181519,0.828499495983
29,174,43,3,8.3184528998,-21.5402865233,0.0151176390276,25.7755814182,88.0112527913,25.6293468475,0.60891866684,0.607867777348,82.597328186,0.143956825137,0.143822535872,0.18113578856,3.98207112084E-06,3.97892699766E-06,-75.4987869263,0.6769348979
30,175,43,4,8.31844482323,-21.5402746866,0.0151176390276,25.7755814182,88.0112527913,25.6292762756,1.07379555702,0.661655008793,81.7439422607,0.180137649179,0.108688205481,0.178193971515,5.01938166053E-06,2.94592177852E-06,-59.5360908508,0.791621625423
31,244,61,1,8.34147588856,-21.2334843631,1.44389790376,24.8210999041,26.1853959184,24.6905612946,1.08450627327,1.02065217495,1.10810542107,0.0957802757621,0.0915840193629,0.112432576716,2.64931009042E-06,2.53383041127E-06,24.9550437927,0.00855183135718
32,245,61,2,8.34158192824,-21.2334427731,1.44389790376,24.8210999041,26.1853959184,24.9816932678,1.07880163193,0.993830800056,-6.42836809158,0.0959941893816,0.0915829464793,0.114806987345,2.65582139036E-06,2.53319649346E-06,25.7752017975,0.149299696088
33,246,61,3,8.34167549551,-21.2333915833,1.44389790376,24.8210999041,26.1853959184,24.6699848175,1.16434669495,1.00282049179,-33.1393089294,0.0987119674683,0.0842721238732,0.110888071358,2.68262920144E-06,2.38643906414E-06,60.6651000977,0.19224485755
34,247,61,4,8.3417775816,-21.2333408372,1.44389790376,24.8210999041,26.1853959184,24.9117527008,0.977007865906,0.854731559753,-43.694896698,0.115189537406,0.0981038734317,0.134344190359,3.13001214636E-06,2.7789124033E-06,60.5177650452,0.879733502865
35,292,73,1,8.20825201081,-21.5327665571,1.03306225606,25.3306851634,131.369745919,25.4855251312,0.927972137928,0.865397572517,84.4431838989,0.118442796171,0.118023835123,0.183781400323,3.27664520228E-06,3.26492522618E-06,-63.6963005066,0.15741340816
36,294,73,3,8.20815477724,-21.5326464995,1.03306225606,25.3306851634,131.369745919,26.0532836914,0.724192678928,0.673049271107,6.63240242004,0.121928371489,0.11274138093,0.160740584135,3.37242045134E-06,3.11946610054E-06,24.9272499084,0.647620797157
37,300,75,1,7.91157157671,-21.5171304656,0.0554872658822,25.6674887729,314.075470444,25.3187789917,0.790379405022,0.769280314445,-54.7963447571,0.123964875937,0.123171791434,0.154615566134,3.42987914337E-06,3.40680003319E-06,33.2758178711,0.401687324047
38,302,75,3,7.91157203441,-21.5171374363,0.0554872658822,25.6674887729,314.075470444,26.0157623291,0.787509560585,0.67312514782,47.5887756348,0.143147975206,0.113159187138,0.214194148779,3.86407555197E-06,3.2480209029E-06,-29.433221817,0.859974861145
39,303,75,4,7.91157430024,-21.5171573546,0.0554872658822,25.6674887729,314.075470444,25.3529396057,0.938486754894,0.803176820278,-79.0558319092,0.145737484097,0.126385346055,0.186550632119,3.97551775677E-06,3.55991210199E-06,-81.2454528809,0.23682411015
40,324,81,1,8.14675887251,-21.3885517859,0.0133117933804,25.1747909738,163.16615996,24.665063858,1.16064584255,0.890064477921,-51.4880371094,0.114390157163,0.0848474577069,0.111564069986,3.04740683532E-06,2.49731715485E-06,71.483215332,0.9151648283
41,325,81,2,8.14674215628,-21.388544909,0.0133117933804,25.1747909738,163.16615996,25.4484043121,1.05664408207,0.845668911934,-63.0717048645,0.116871625185,0.0913437232375,0.146774888039,3.14071371577E-06,2.64089703705E-06,-88.6281509399,0.958898663521
42,327,81,4,8.14675664873,-21.3885489213,0.0133117933804,25.1747909738,163.16615996,25.1638221741,0.973101377487,0.788461923599,57.9212493896,0.111578144133,0.0899696871638,0.13834734261,3.05312482851E-06,2.52996483141E-06,-40.4138717651,0.966114759445
43,332,83,1,8.02105878297,-21.4906779856,0.0181803268606,22.6737623205,273.804363636,25.5618095398,1.00743770599,0.49617099762,-89.4136962891,0.175909847021,0.0792182013392,0.144337117672,4.86535827804E-06,2.19365256271E-06,-64.8349456787,0.960974812508
44,340,85,1,7.90270746477,-21.6154409769,0.559377753749,25.5459841978,63.2627507567,25.6245384216,0.807427763939,0.670233428478,-43.242401123,0.130753085017,0.103657320142,0.19147028029,3.52912365997E-06,2.97508836411E-06,60.9488220215,0.979068756104
45,341,85,2,7.90274830113,-21.6154103774,0.559377753749,25.5459841978,63.2627507567,24.8209857941,1.16879451275,0.842251241207,54.8281021118,0.146819621325,0.103505373001,0.131445795298,3.99030568587E-06,2.96174857795E-06,-39.3680915833,0.355354726315
46,342,85,3,7.90276624173,-21.6153622161,0.559377753749,25.5459841978,63.2627507567,25.2040996552,0.951425015926,0.79682892561,9.28552818298,0.132483318448,0.114883050323,0.166362956166,3.61403817806E-06,3.23578819916E-06,8.80194664001,0.812991857529
47,343,85,4,7.90277522384,-21.6153263941,0.559377753749,25.5459841978,63.2627507567,25.6400165558,0.908342063427,0.677957475185,-64.5847473145,0.141441002488,0.101691447198,0.181307002902,3.79463745048E-06,2.97046631204E-06,-83.5108032227,0.306711524725
48,372,93,1,8.37943967055,-21.3161359563,0.170354612112,25.143143353,31.7712744105,24.9410133362,1.1256377697,1.00630819798,63.0263214111,0.111278913915,0.0977889448404,0.134505003691,3.07603590954E-06,2.70782652478E-06,-48.0494689941,0.778724074364
49,374,93,3,8.37946497575,-21.3161292218,0.170354612112,25.143143353,31.7712744105,25.0205631256,1.04584515095,0.858010947704,-25.8687896729,0.125137880445,0.0971053689718,0.141119033098,3.46026854459E-06,2.68818371296E-06,41.2469673157,0.878267467022
50,375,93,4,8.37947421835,-21.3161208753,0.170354612112,25.143143353,31.7712744105,24.6142196655,1.12043976784,1.00702464581,62.5746269226,0.10883191973,0.095628388226,0.113553240895,3.00796818919E-06,2.64849199993E-06,-47.8646583557,0.294911235571
51,384,96,1,8.37859668357,-21.5405138076,1.53473540943,25.4006209979,29.4840216066,25.6587944031,0.925759673119,0.626336336136,-70.5534362793,0.161077067256,0.10702329874,0.187397673726,4.32486012869E-06,3.14906105814E-06,-79.6000289917,0.712910354137
52,385,96,2,8.378706477,-21.5404600862,1.53473540943,25.4006209979,29.4840216066,25.782377243,0.741533875465,0.647418379784,-1.69661855698,0.12834495306,0.118786774576,0.201512649655,3.5498599118E-06,3.28671239913E-06,24.9873008728,0.854289293289
53,386,96,3,8.37880204799,-21.540392104,1.53473540943,25.4006209979,29.4840216066,25.0461540222,1.04537689686,0.936079919338,-48.3950157166,0.110484808683,0.0964328497648,0.140192016959,3.00951046484E-06,2.72043484983E-06,60.4561233521,0.0559354536235
54,388,97,1,8.1104197028,-21.4158212627,0.0219142350069,25.5191892258,96.9784903008,25.6793689728,1.03112566471,0.652671933174,64.6479415894,0.173762440681,0.106375142932,0.178311511874,4.78733181808E-06,2.9745451684E-06,-47.1030960083,0.340095847845
55,390,97,3,8.11039373767,-21.4158132309,0.0219142350069,25.5191892258,96.9784903008,25.5173206329,0.950046181679,0.692712605,-89.1837081909,0.129492327571,0.0945441499352,0.171150311828,3.58346937901E-06,2.61380182565E-06,-64.4870986938,0.950118005276
56,391,97,4,8.11039895009,-21.4158180642,0.0219142350069,25.5191892258,96.9784903008,24.9667816162,0.993737816811,0.660016357899,-61.8062057495,0.155685439706,0.0957329049706,0.1367264539,4.09505946664E-06,2.96534244626E-06,88.099822998,0.754518389702
57,424,106,1,8.18302890687,-21.5494732235,0.0369181857676,24.8044054053,248.006267841,24.7381477356,1.10973405838,0.971887648106,-15.7048683167,0.0910398513079,0.0801122412086,0.107908003032,2.51715960076E-06,2.21774394049E-06,41.6567268372,0.870613992214
58,426,106,3,8.18303080428,-21.5494824485,0.0369181857676,24.8044054053,248.006267841,24.8034477234,1.19561123848,0.916839182377,39.4686012268,0.110155329108,0.0781584978104,0.115047864616,2.92123854706E-06,2.32966749536E-06,-17.3717403412,0.926206171513
59,427,106,4,8.18301884003,-21.5494860756,0.0369181857676,24.8044054053,248.006267841,24.5050525665,1.27084696293,0.914231061935,24.8130226135,0.107761971653,0.0677387937903,0.0970388576388,2.84640191239E-06,2.07277798836E-06,1.0326218605,0.973208427429
60,428,107,1,7.90855497735,-21.6571249388,0.092579208646,25.4686043008,55.2580693122,25.1924133301,1.12457633018,0.744903028011,89.8985366821,0.15653924644,0.103161267936,0.170301839709,4.32067827205E-06,2.86849422082E-06,-66.0404510498,0.0466565303504
61,430,107,3,7.90856372559,-21.657106019,0.092579208646,25.4686043008,55.2580693122,25.8185405731,0.967516958714,0.706874668598,87.5404205322,0.145287171006,0.105580203235,0.21010735631,4.02303385272E-06,2.91527908303E-06,-64.1025924683,0.142606109381
62,431,107,4,7.90857529585,-21.6571093595,0.092579208646,25.4686043008,55.2580693122,25.0430088043,0.970481276512,0.662572562695,28.9474754333,0.13427990675,0.0820870101452,0.133705556393,3.5312828004E-06,2.54651081377E-06,-1.92681753635,0.95969748497
63,449,112,2,8.22676707139,-21.5653208929,0.112355540901,25.3110661666,44.73385569,25.3777446747,0.866742014885,0.738322377205,-85.7195281982,0.107212364674,0.0847509503365,0.13006092608,2.96583971249E-06,2.34458707382E-06,-64.6964035034,0.940536499023
64,450,112,3,8.22677009913,-21.5653059149,0.112355540901,25.3110661666,44.73385569,26.0947475433,0.786668121815,0.676631391048,88.9451599121,0.127961367369,0.104460388422,0.123336210847,3.53926907337E-06,2.89049444291E-06,-64.8484802246,0.964348852634
65,500,125,1,8.1891571795,-21.3755979598,0.16081347306,25.5840560863,298.554370028,25.3059520721,0.944374918938,0.717042505741,-58.9369316101,0.137344688177,0.103845082223,0.162260860205,3.67169650417E-06,3.03437263938E-06,88.1728134155,0.907290995121
66,501,125,2,8.18915431607,-21.3755981642,0.16081347306,25.5840560863,298.554370028,25.5490779877,0.914940595627,0.67426866293,70.3450698853,0.148096516728,0.106508538127,0.176142439246,4.10961774833E-06,2.92870527119E-06,-51.459903717,0.863171219826
67,502,125,3,8.18915676085,-21.3756218421,0.16081347306,25.5840560863,298.554370028,25.1915645599,0.919408380985,0.782716929913,49.615447998,0.14262098074,0.12073392421,0.179177775979,3.87422005588E-06,3.42233283845E-06,-29.815114975,0.587806999683
68,503,125,4,8.18916518473,-21.3756341819,0.16081347306,25.5840560863,298.554370028,25.5327262878,0.935153543949,0.720859706402,-89.7916641235,0.134910672903,0.0985166355968,0.176123395562,3.73212515115E-06,2.72538477475E-06,-64.7043075562,0.116783633828
69,560,140,1,8.17654514947,-21.4022079305,0.309161758414,25.8117099738,25.5864644865,25.9028530121,0.723290324211,0.669336736202,-13.5894956589,0.138523206115,0.127986729145,0.214922219515,3.83398855774E-06,3.53854898094E-06,26.4742393494,0.834137260914
70,562,140,3,8.17658459279,-21.4021973593,0.309161758414,25.8117099738,25.5864644865,25.2717819214,0.723798334599,0.681397497654,85.794708252,0.140907630324,0.130464971066,0.158103182912,3.89812566937E-06,3.60908597941E-06,-64.6583557129,0.62881141901
71,563,140,4,8.17659255332,-21.4022065422,0.309161758414,25.8117099738,25.5864644865,25.6181640625,0.848539292812,0.661894023418,-47.6920585632,0.157299861312,0.124231256545,0.17619523406,4.24395830123E-06,3.56869327334E-06,60.9596710205,0.00932149775326
72,569,142,2,8.17079564659,-21.4305456622,0.0479114427912,25.476703965,259.457051024,25.5395927429,0.962016224861,0.751540362835,-12.9175729752,0.123646534979,0.0871214941144,0.152288481593,3.4413708363E-06,2.38028496824E-06,35.1960906982,0.746982336044
73,570,142,3,8.17079565282,-21.4305497285,0.0479114427912,25.476703965,259.457051024,25.4951267242,0.702412068844,0.631222009659,-64.6596755981,0.146362423897,0.128444567323,0.185380384326,3.97691883336E-06,3.63371327694E-06,88.5106887817,0.611362695694
74,571,142,4,8.17080663369,-21.4305571542,0.0479114427912,25.476703965,259.457051024,24.9094200134,0.983273923397,0.934801220894,64.488899231,0.121932439506,0.119433932006,0.134046450257,3.37425331054E-06,3.30284342454E-06,-61.4981994629,0.89972782135
75,598,149,3,7.94237260439,-21.2350953612,0.44504689672,24.4544618791,49.0440172039,24.648229599,1.20844042301,1.05934011936,-88.3338699341,0.0876835882664,0.0756425336003,0.09291344136,2.42593750954E-06,2.09219319913E-06,-64.6261901855,0.960600495338
