,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com
0,20-21,0.1,23,19,42,24,24,0.55,1.75,0.96
1,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0
2,20-21,1.0,20,0,20,20,20,1.0,1.0,1.0
3,20-21,3.0,17,0,17,17,17,1.0,1.0,1.0
4,20-21,10.0,11,0,11,11,11,1.0,1.0,1.0
5,21-22,0.1,25,38,63,25,25,0.4,2.52,1.0
6,21-22,0.3,29,5,34,30,30,0.85,1.13,0.97
7,21-22,1.0,21,0,21,21,21,1.0,1.0,1.0
8,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94
9,21-22,10.0,14,1,15,15,15,0.93,1.0,0.93
10,22-23,0.1,19,55,74,19,19,0.26,3.89,1.0
11,22-23,0.3,36,0,36,37,37,1.0,0.97,0.97
12,22-23,1.0,20,0,20,20,20,1.0,1.0,1.0
13,22-23,3.0,20,1,21,20,20,0.95,1.05,1.0
14,22-23,10.0,14,0,14,14,14,1.0,1.0,1.0
15,23-24,0.1,16,64,80,17,17,0.2,4.71,0.94
16,23-24,0.3,25,1,26,26,26,0.96,1.0,0.96
17,23-24,1.0,24,1,25,24,24,0.96,1.04,1.0
18,23-24,3.0,22,0,22,22,22,1.0,1.0,1.0
19,23-24,10.0,12,0,12,12,12,1.0,1.0,1.0
20,24-25,0.1,20,53,73,22,22,0.27,3.32,0.91
21,24-25,0.3,15,4,19,19,19,0.79,1.0,0.79
22,24-25,1.0,19,11,30,20,20,0.63,1.5,0.95
23,24-25,3.0,16,3,19,16,16,0.84,1.19,1.0
24,24-25,10.0,8,0,8,13,13,1.0,0.62,0.62
25,25-26,0.1,9,1,10,27,27,0.9,0.37,0.33
26,25-26,0.3,13,0,13,23,23,1.0,0.57,0.57
27,25-26,1.0,9,67,76,16,16,0.12,4.75,0.56
28,25-26,3.0,20,5,25,21,21,0.8,1.19,0.95
29,25-26,10.0,0,0,0,2,2,,0.0,0.0
30,26-27,0.1,0,0,0,0,0,0.0,0.0,0.0
31,26-27,0.3,0,0,0,0,0,0.0,0.0,0.0
32,26-27,1.0,0,0,0,0,0,0.0,0.0,0.0
33,26-27,3.0,0,0,0,0,0,0.0,0.0,0.0
34,26-27,10.0,0,0,0,0,0,0.0,0.0,0.0
