,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com,class_star,pm_filter
15,23-24,0.1,1,14,15,17,19,0.07,0.79,0.05,0.975,1.0
45,23-24,0.1,1,14,15,17,19,0.07,0.79,0.05,0.975,0.9
75,23-24,0.1,1,14,15,17,19,0.07,0.79,0.05,0.975,0.8
105,23-24,0.1,1,14,15,17,19,0.07,0.79,0.05,0.975,0.7
135,23-24,0.1,1,14,15,17,19,0.07,0.79,0.05,0.975,0.6
165,23-24,0.1,1,14,15,17,19,0.07,0.79,0.05,0.975,0.5
195,23-24,0.1,1,14,15,17,19,0.07,0.79,0.05,0.975,0.4
225,23-24,0.1,1,14,15,17,19,0.07,0.79,0.05,0.975,0.3
255,23-24,0.1,1,14,15,17,19,0.07,0.79,0.05,0.975,0.2
285,23-24,0.1,8,41,49,17,19,0.16,2.58,0.42,0.975,0.1
315,23-24,0.1,6,37,43,17,19,0.14,2.26,0.32,0.95,1.0
345,23-24,0.1,6,37,43,17,19,0.14,2.26,0.32,0.95,0.9
375,23-24,0.1,6,37,43,17,19,0.14,2.26,0.32,0.95,0.8
405,23-24,0.1,6,37,43,17,19,0.14,2.26,0.32,0.95,0.7
435,23-24,0.1,6,37,43,17,19,0.14,2.26,0.32,0.95,0.6
465,23-24,0.1,6,37,43,17,19,0.14,2.26,0.32,0.95,0.5
495,23-24,0.1,6,37,43,17,19,0.14,2.26,0.32,0.95,0.4
525,23-24,0.1,6,37,43,17,19,0.14,2.26,0.32,0.95,0.3
555,23-24,0.1,6,37,43,17,19,0.14,2.26,0.32,0.95,0.2
585,23-24,0.1,10,61,71,17,19,0.14,3.74,0.53,0.95,0.1
615,23-24,0.1,10,45,55,17,19,0.18,2.89,0.53,0.925,1.0
645,23-24,0.1,10,45,55,17,19,0.18,2.89,0.53,0.925,0.9
675,23-24,0.1,10,45,55,17,19,0.18,2.89,0.53,0.925,0.8
705,23-24,0.1,10,45,55,17,19,0.18,2.89,0.53,0.925,0.7
735,23-24,0.1,10,45,55,17,19,0.18,2.89,0.53,0.925,0.6
765,23-24,0.1,10,45,55,17,19,0.18,2.89,0.53,0.925,0.5
795,23-24,0.1,10,45,55,17,19,0.18,2.89,0.53,0.925,0.4
825,23-24,0.1,10,45,55,17,19,0.18,2.89,0.53,0.925,0.3
855,23-24,0.1,10,45,55,17,19,0.18,2.89,0.53,0.925,0.2
885,23-24,0.1,12,69,81,17,19,0.15,4.26,0.63,0.925,0.1
915,23-24,0.1,15,58,73,17,19,0.21,3.84,0.79,0.9,1.0
945,23-24,0.1,15,58,73,17,19,0.21,3.84,0.79,0.9,0.9
975,23-24,0.1,15,58,73,17,19,0.21,3.84,0.79,0.9,0.8
1005,23-24,0.1,15,58,73,17,19,0.21,3.84,0.79,0.9,0.7
1035,23-24,0.1,15,58,73,17,19,0.21,3.84,0.79,0.9,0.6
1065,23-24,0.1,15,58,73,17,19,0.21,3.84,0.79,0.9,0.5
1095,23-24,0.1,15,58,73,17,19,0.21,3.84,0.79,0.9,0.4
1125,23-24,0.1,15,58,73,17,19,0.21,3.84,0.79,0.9,0.3
1155,23-24,0.1,15,58,73,17,19,0.21,3.84,0.79,0.9,0.2
1185,23-24,0.1,16,80,96,17,19,0.17,5.05,0.84,0.9,0.1
1215,23-24,0.1,16,62,78,17,19,0.21,4.11,0.84,0.875,1.0
1245,23-24,0.1,16,62,78,17,19,0.21,4.11,0.84,0.875,0.9
1275,23-24,0.1,16,62,78,17,19,0.21,4.11,0.84,0.875,0.8
1305,23-24,0.1,16,62,78,17,19,0.21,4.11,0.84,0.875,0.7
1335,23-24,0.1,16,62,78,17,19,0.21,4.11,0.84,0.875,0.6
1365,23-24,0.1,16,62,78,17,19,0.21,4.11,0.84,0.875,0.5
1395,23-24,0.1,16,62,78,17,19,0.21,4.11,0.84,0.875,0.4
1425,23-24,0.1,16,62,78,17,19,0.21,4.11,0.84,0.875,0.3
1455,23-24,0.1,16,62,78,17,19,0.21,4.11,0.84,0.875,0.2
1485,23-24,0.1,16,83,99,17,19,0.16,5.21,0.84,0.875,0.1
1515,23-24,0.1,16,62,78,17,19,0.21,4.11,0.84,0.85,1.0
1545,23-24,0.1,16,62,78,17,19,0.21,4.11,0.84,0.85,0.9
1575,23-24,0.1,16,62,78,17,19,0.21,4.11,0.84,0.85,0.8
1605,23-24,0.1,16,62,78,17,19,0.21,4.11,0.84,0.85,0.7
1635,23-24,0.1,16,62,78,17,19,0.21,4.11,0.84,0.85,0.6
1665,23-24,0.1,16,62,78,17,19,0.21,4.11,0.84,0.85,0.5
